rank,value_rating,model,price,signature,tone_grade,technical_grade,driver_type
A-,-1,Vision Ears EXT,3000,U-shaped,A-,A-,2EST 2DD
B+,3,Etymotic ER2SE/ER2XR,110,DF-neutral,A,B+,DD
B+,-1,64 Audio N8,1700,Bassy,B+,A,8BA 1DD
B+,-1,Elysian Terminator,-1,Warm V-shape,B+,A,8BA
B+,1,Fearless S6Pro,390,DF-neutral,A,B+,6BA
B+,-1,FitEar MH334,1900,Warm,A,B+,4BA
B+,-1,64 Audio A18S,3000,Warm,B,S-,18BA
B+,-1,Clariar i640,1200,V-shaped,A,B+,6BA
B+,-1,Empire Ears Legend EVO,3100,Bassy,B+,A,5BA 2DD 1BC
B+,2,Moondrop Kato,190,Harman-neutral,A,B+,DD
B+,-1,Jomo Trinity SS,2800,V-shaped,B+,A,2EST 4BA 1DD
B+,1,Massdrop Plus,300,Warm DF-neutral,A,B+,3BA
B+,-1,Oriolus Mellianus,2400,Mild V-shape,B+,A,10BA
B+,-1,qdc 5SH,900,V-shaped,B+,A,5BA
B+,-1,Sony MDR-EX1000,-1,Bright DF-neutral,B,S-,DD
B+,1,Tanchjim Oxygen,270,Harman-neutral,A,B+,DD
B+,-1,Unique Melody Maestro V2,2000,Balanced,B+,A,12BA
B+,-1,Soranik Ion,1100,Warm,A,B+,5BA
B+,2,Samsung Galaxy Buds2 Pro,230,Harman-neutral,S-,B,2DD
B+,-1,Sony MDR-EX800ST/MDR7550,350,Bright neutral,B,A+,DD
B+,-1,Gaudio Nair,862,Neutral,A+,B,3BA
B+,2,AKG N400,155,Harman-neutral,A+,B,DD
B+,2,Samsung Galaxy Buds Pro,200,Warm Harman,A+,B,2DD
B+,-1,Sennheiser IE900,1300,U-shaped,B,A+,DD
B+,-1,A&K T8iE,-1,Neutral with bass boost,B,A+,DD
B+,-1,Beyerdynamic Xelento,1000,V-shaped,B,A+,DD
B+,-1,Moondrop Illumination,800,Warm neutral,A+,B,DD
B+,1,Prisma Azul,300,Neutral,A+,B,2BA
B+,-1,Noble Khan,2300,U-shaped,B,A+,1Piezo 4BA 1DD
B+,1,Apple AirPods Pro 2,250,Mild V-shape,A+,B,DD
B+,-1,Elysian Artemis V2,700,Neutral,B+,A-,3BA
B+,1,DUNU DK-3001 Pro,470,Warm neutral,A-,B+,3BA 1DD
B+,1,Acoustune HS1551,500,Warm V-shape,A-,B+,DD
B+,-1,Custom Art Harmony 8.2,1300,Warm,A-,B+,8BA
B+,1,Etymotic ER4PT,300,Warm neutral,A-,B+,BA
B+,-1,FitEar TG334,1400,Dark,A-,B+,4BA
B+,-1,HUM Reference,1300,DF-neutral,A-,B+,BA
B+,-1,64 Audio A6t,1300,Warm,A-,B+,6BA
B+,-1,Custom Art FIBAE 7,1450,Neutral,A-,B+,7BA
B+,-1,FAudio Dark Sky,1100,V-shaped,A-,B+,DD
B+,-1,JQ Hua Jiang,750,Neutral with bass boost,A-,B+,2EST 6BA 1DD
B+,1,MiM Dark Magician,500,Neutral,A-,B+,DD
B+,-1,Ultimate Ears UE4 Pro,-1,Neutral,A-,B+,2BA
B+,-1,Jomo Quatre,1500,V-shaped,A-,B+,3BA 1DD
B+,-1,Oriolus MK2,1100,V-shaped,A-,B+,3BA 1DD
B+,-1,Ultimate Ears UE7 Pro,850,Warm neutral,A-,B+,3BA
B+,-1,Unique Melody Martian,700,Neutral with bass boost,A-,B+,2BA 2DD
B+,2,Etymotic ER3SE/ER3XR,160,Warm neutral,A-,B+,BA
B+,-1,Audeze Euclid,1300,Mild V-shape,B-,S,Planar
B+,-1,64 Audio tia Fourte,3600,W-shaped,B-,S,3BA 1DD
B+,-1,Vision Ears VE3.2,1200,Warm neutral,A,B,3BA
B+,-1,FAudio Minor,520,Mild V-shape,A,B,DD
B+,-1,Campfire Solaris (SE),1500,Balanced,B,A,3BA 1DD
B+,-1,Empire Ears Hero,1350,U-shaped,B,A,3BA 1DD
B+,-1,Jomo Trinity Brass,2800,Warm,B,A,2EST 4BA 1DD
B+,-1,NCM Bella,1050,U-shaped,B,A,8BA 1DD
B+,1,Sony XBA-N3,300,Neutral with bass boost,A,B,1BA 1DD
B+,-1,Softears Cerberus,2100,Dark neutral,B+,B+,2EST 4BA 1DD
B+,-1,AAW ASH,800,Warm neutral,B+,B+,6BA 1DD
B+,-1,Empire Ears EVR,800,Neutral,B+,B+,3BA
B+,-1,Empire Ears Vantage,1400,V-shaped,B+,B+,1BA 2DD
B+,-1,HYLA TE-5T,1300,Bright U-shape,B-,A+,1Piezo 2BA 1DD
B+,1,iBasso IT04,500,U-shaped,B+,B+,3BA 1DD
B+,1,Acoustune HS1300,350,V-shaped,B+,B+,DD
B+,1,iBasso AM05,300,Neutral,B+,B+,5BA
B+,1,Libratone Track Air Plus,250,Neutral with bass boost,A+,B-,2DD
B+,-1,Tanchjim Darling,420,Warm DF-neutral,B+,B+,2BA 1DD
B+,2,Unique Melody 2HT “Terminator”,200,U-shaped,B+,B+,1BA 1DD
B,-1,Empire Ears Valkyrie,1600,V-shaped,B,A-,1EST 1BA 1DD
B,2,Moondrop KXXS,190,Harman-neutral,A-,B,DD
B,2,Moondrop Starfield,110,Harman-neutral,A-,B,DD
B,3,Moondrop Aria,80,Harman-neutral,A-,B,DD
B,-1,AAW Canary,2170,V-shaped,B,A-,2EST 4BA 2DD
B,-1,Acoustune HS1670,800,V-shaped,B,A-,DD
B,-1,Dita Fealty,1300,Mild V-shape,A-,B,DD
B,-1,Dita Fidelity,1300,V-shaped,B,A-,DD
B,-1,Aya Siren,600,Neutral,A-,B,2EST 4BA
B,-1,Empire Ears Valkyrie Mk2,1600,V-shaped,B,A-,1EST 1BA 1DD
B,-1,Fatfreq Sakura,950,Neutral,A-,B,6BA
B,-1,Fatfreq Tsuru,800,Bright neutral,A-,B,3BA
B,-1,iBasso IT07,900,U-shaped,B,A-,6BA 1DD
B,1,JVC HA-FD01,300,Bright V-shape,B,A-,DD
B,1,JVC HA-FD02,300,Bright V-shape,B,A-,DD
B,-1,Kinera Nanna,900,Mild V-shape,A-,B,2EST 1BA 1DD
B,-1,See Audio Kaguya,1400,U-shaped,B,A-,4EST 4BA
B,2,Samsung Galaxy Buds,130,Harman-neutral,A-,B,DD
B,1,Sony WF-1000XM3,230,Neutral with bass boost,A-,B,DD
B,-1,Ultimate Ears UE18+ Pro Gen 3,1500,Balanced,B,A-,6BA
B,3,DUNU Titan S,80,Mild V-shape,A-,B,DD
B,-1,Campfire Ara,1300,Bright neutral,C+,S,7BA
B,-1,Campfire Solaris (2020),1500,Bright V-shape,B-,A,4BA 1DD
B,-1,64 Audio tia Fourte Noir,3800,W-shaped,B-,A,3BA 1DD
B,-1,Final Audio A8000,2000,Bright V-shape,B-,A,DD
B,-1,Kumitate KL-Corona,650,Neutral,A,B-,3BA
B,-1,Unique Melody Merlin V2,1000,Warm neutral,A,B-,4BA 1DD
B,-1,DUNU Luna,1700,Mid-centric,C+,S-,DD
B,2,See Audio Yume,170,Neutral with bass boost,S-,C+,2BA 1DD
B,-1,Noble Tux 5,1300,U-shaped,B+,B,4BA 1DD
B,-1,Dita Dream XLS,1850,Neutral,B,B+,DD
B,2,Samsung Galaxy Buds+,150,Harman-neutral,B+,B,2DD
B,-1,DUNU DK-4001,900,U-shaped,B,B+,4BA 1DD
B,-1,ThieAudio Legacy 9 (L9),550,Bassy,B+,B,8BA 1DD
B,1,AAW AXH (2019),430,Bright neutral,B,B+,4BA 1DD
B,-1,Acoustune HS1501,500,Warm V-shape,B,B+,DD
B,-1,AKG N5005,1000,Neutral with bass boost,B+,B,4BA 1DD
B,-1,Dita Truth Brass,-1,Warm V-shape,B+,B,DD
B,1,Fearless S4,290,V-shaped,B+,B,4BA
B,1,Fearless S5H,330,V-shaped,B+,B,5BA
B,1,Fearless S6Rui,390,V-shaped,B+,B,6BA
B,1,FiiO FH5,260,Neutral with bass boost,B+,B,3BA 1DD
B,-1,64 Audio A4t,1000,Neutral with bass boost,B+,B,4BA
B,-1,Acoustune HS1655Cu,750,V-shaped,B,B+,DD
B,-1,Acoustune HS1657,750,V-shaped,B,B+,DD
B,-1,Acoustune HS1677,900,V-shaped,B,B+,DD
B,-1,Aroma Witch Girl W12,3150,Warm V-shape,B,B+,12BA
B,1,Audiosense DT600,250,Neutral with bass boost,B+,B,6BA
B,1,Aune Jasper,300,Mild V-shape,B+,B,DD
B,-1,BGVP DM7,300,Warm neutral,B+,B,6BA
B,-1,Craft Ears Aurum,1500,Neutral with bass boost,B+,B,2EST 4BA 1DD
B,1,DUNU DK-2001,300,V-shaped,B+,B,3BA 1DD
B,-1,DUNU EST 112,490,Neutral,B+,B,2EST 1BA 1DD
B,-1,HUM Dolores,1700,Neutral,B+,B,2BA
B,-1,Oriolus Isabellae,600,Mild V-shape,B+,B,DD
B,-1,PEARS SH2,860,Neutral,B,B+,2BA
B,-1,Shuoer EJ07,850,Dark neutral,B+,B,4EST 2BA 1DD
B,2,Tanchjim New Hana (2021),180,Harman-neutral,B+,B,DD
B,-1,Unique Melody Maven,2000,V-shaped,B,B+,11BA
B,-1,qdc Anole V3,600,Variable,B+,B,3BA
B,-1,qdc Anole V6,1100,Variable,B,B+,6BA
B,1,Sony XBA-A3,480,Warm neutral,B+,B,2BA 1DD
B,-1,Sony XBA-Z5,700,Balanced,B+,B,2BA 1DD
B,-1,JH Roxanne,1745,Warm,B,B+,12BA
B,-1,VSonic GR07X,-1,Neutral,B+,B,DD
B,-1,Moondrop Kanas Pro,-1,Warm V-shape,A-,B-,DD
B,-1,Acoustune HS1697,1150,V-shaped,B-,A-,DD
B,2,Audiosense DT200,150,Neutral,A+,C+,2BA
B,-1,FiR VxV,1000,Mild V-shape,B-,A-,4BA 1DD
B,-1,Oriolus Percivali,2000,Neutral with bass boost,B-,A-,2EST 2BA 1DD
B,2,ThieAudio Legacy 4 (L4),200,Neutral with bass boost,A-,B-,3BA 1DD
B,-1,Vision Ears EVE 20,1550,V-shaped,B-,A-,6BA
B,1,Bose SoundSport Free,200,Neutral,A-,B-,DD
B,3,Moondrop Chu,20,Neutral,A+,C+,DD
B,-1,Jomo Tango,1400,V-shaped,C+,A,6BA
B,-1,Moondrop Crescent,30,Neutral with bass boost,A,C+,DD
B,3,Lypertek PurePlay Z3 2.0(PurePlay Z3)(Tevi),90,DF-neutral with bass boost,A,C+,DD
B,-1,Fearless La Hire,610,Neutral,B,B,2EST 2BA
B,1,ARC Mira,410,Neutral,B,B,2BA
B,-1,Gaudio Clariden,862,V-shaped,B,B,3BA
B,1,ThieAudio Legacy 5 (L5),250,Warm neutral,B,B,4BA 1DD
B,1,Sennheiser IE300,300,V-shaped,B,B,DD
B,-1,AAW Mockingbird,1450,Neutral,B,B,8BA 1DD
B,1,Audio Technica ATH-E70,400,Neutral with bass boost,B,B,3BA
B,-1,Empire Ears Bravado,700,V-shaped,B,B,1BA 1DD
B,-1,Empire Ears Nemesis,1600,V-shaped,B,B,3BA 2DD
B,-1,"Fidue A91 ""Sirius""",900,Warm V-shape,B,B,4BA 1DD
B,-1,FitEar F/A111,780,Warm neutral,B,B,BA
B,-1,FitEar Parterre,1200,Warm,B,B,2BA?
B,-1,HUM Pristine Reference,1400,Warm,B,B,2BA
B,-1,Acoustune HS1004,-1,Bright V-shape,B,B,DD
B,-1,Aroma Yao,2500,Warm,B,B,12BA
B,-1,Aya Trident,800,U-shaped,B,B,4EST 4BA
B,-1,FitEar MH335DW,2250,Warm,B,B,5BA
B,-1,Kinera Nanna 2.0,900,V-shaped,B,B,2EST 1BA 1DD
B,-1,Kumitate KL-REF Type S,-1,Variable,B,B,3BA 2DD
B,1,Oriveti OH300,300,V-shaped,B,B,2BA 1DD
B,-1,Oriveti OH500,500,V-shaped,B,B,4BA 1DD
B,-1,Sony XBA-H3,350,Warm neutral,B,B,2BA 1DD
B,-1,Tanchjim Prism,600,V-shaped,B,B,2BA 1DD
B,-1,TRI Starshine,500,Bright V-shape,B,B,2EST 2BA
B,1,UFOEar UFO-112,350,V-shaped,B,B,2BA 1DD
B,-1,Unique Melody Mirage,1100,Mild V-shape,B,B,3BA
B,-1,Vision Ears VE5,1400,Neutral,B,B,5BA
B,-1,XENNS UP,700,Neutral with bass boost,B,B,2EST 4BA 1DD
B,1,Periodic Audio Be,300,Mild V-shape,B,B,DD
B,1,Sennheiser IE400 Pro,350,V-shaped,B,B,DD
B,1,Shozy & Neo BG,280,Bright neutral,B,B,5BA
B,-1,Shure SE846,1000,Neutral with bass boost,B,B,4BA
B,-1,Stealthsonics U9 JDM,1100,Neutral with bass boost,B,B,8BA 1DD
B,-1,ACS Encore,1130,Neutral,B,B,3BA
B,-1,FLC8S,-1,Variable,B,B,2BA 1DD
B,-1,Rhapsodio Galaxy,-1,V-shaped,B,B,DD
B,-1,Rhapsodio Solar,1550,Mild V-shape,B,B,10BA
B-,-1,Fearless Lancelot,1300,Warm,B-,B+,2EST 6BA
B-,-1,ARC Oculus,570,Warm,B+,B-,3BA
B-,-1,Itsfit R3,305,Neutral,B+,B-,3BA
B-,-1,Audio Technica ATH-IM02,-1,Warm neutral,B+,B-,2BA
B-,1,Audio Technica ATH-LS200,250,Neutral,B+,B-,2BA
B-,-1,Custom Art FIBAE Black,500,Warm neutral,B+,B-,1BA
B-,-1,Audio Genetic AG2,450,Warm,B+,B-,2BA
B-,-1,Dita Truth Answer Edition,450,V-shaped,B-,B+,DD
B-,-1,Dita Truth,750,V-shaped,B-,B+,DD
B-,-1,Lime Ears LE2,600,Neutral,B+,B-,2BA
B-,-1,Soranik Bastille Signature,-1,V-shaped,B-,B+,4BA 1DD
B-,1,Jabra Elite Active 65t,190,Neutral,B+,B-,DD
B-,-1,Sony MH755,-1,Harman-neutral,B+,B-,DD
B-,-1,Unique Melody MacBeth,600,U-shaped,B-,B+,1BA 1DD
B-,2,Tin HiFi T3 Plus,70,Mild V-shape,B+,B-,DD
B-,-1,Sony MDR-AS800AP,-1,Neutral with bass boost,S-,C,DD
B-,2,Tin HiFi T2 Plus,60,Warm neutral,A-,C+,DD
B-,1,Moondrop Sparks,90,Harman-neutral,A-,C+,DD
B-,-1,Alclair Studio3,750,Neutral with bass boost,A-,C+,3BA
B-,1,Audio Lokahi,240,Neutral with bass boost,A-,C+,7BA
B-,-1,Eartech Dual Driver,350,Warm,A-,C+,2BA
B-,-1,JBL LIVE 300TWS,150,V-shaped,A-,C+,DD
B-,1,JVC HA-FW03,250,Warm DF-neutral,A-,C+,DD
B-,-1,Nostalgia Benbulbin,900,Neutral with bass boost,A-,C+,4BA 1DD
B-,1,Shure Aonic 3,160,Neutral,A-,C+,BA
B-,3,Tripowin Lea,26,Mild V-shape,A-,C+,DD
B-,1,Tin HiFi T4,110,Bright neutral,B,B-,DD
B-,-1,Vision Ears VE4.2,1440,V-shaped,B-,B,4BA
B-,-1,Elysian Cora (2019),1230,Neutral with bass boost,B-,B,4BA 1DD
B-,-1,ARC Pollux,285,Neutral,B,B-,BA
B-,-1,Colorfly Quintet,900,Mild V-shape,B-,B,4BA 1DD
B-,-1,Empire Ears ESR,1000,Bright V-shape,B-,B,3BA
B-,-1,Aroma Early,600,Neutral with bass boost,B,B-,1BA 1DD
B-,-1,Clear Tune Monitors CT-6E,1000,Neutral,B-,B,6BA
B-,-1,Dita Sakura 71,-1,V-shaped,B-,B,DD
B-,1,DUNU Titan 1,110,Bright,B,B-,DD
B-,1,DUNU Titan 3,140,Bright neutral,B-,B,DD
B-,-1,Earsonics Purple,1500,Neutral,B-,B,5BA
B-,-1,Eternal Melody EM-5,900,Warm,B,B-,5BA
B-,-1,Fatfreq Hayabusa,1320,Mild V-shape,B-,B,8BA
B-,-1,Fearless Shangri-la,230,V-shaped,B-,B,4BA 1DD
B-,-1,FiiO FA9,450,Neutral,B,B-,6BA
B-,-1,Final Audio B3,500,Warm neutral,B,B-,2BA
B-,-1,InEar StageDiver SD-2,400,Neutral,B,B-,2BA
B-,1,QoA Adonis,220,Mild V-shape,B,B-,2BA 1DD
B-,1,Shanling ME200,180,V-shaped,B,B-,1BA 1DD
B-,-1,Tralucent 1 Plus 2.2,-1,Bright V-shape,B,B-,2BA 1DD
B-,-1,Unique Melody Miracle V2,1050,Mild V-shape,B-,B,6BA
B-,-1,VSonic GR07 Bass Edition,-1,Neutral,B-,B,DD
B-,-1,Meze Rai Penta,1100,Warm V-shape,B,B-,4BA 1DD
B-,-1,VSonic GR07 Classic,-1,Mild V-shape,B-,B,DD
B-,1,Apple AirPods Pro,250,Neutral,B,B-,DD
B-,-1,Aroma Witch Girl S,900,Warm,C+,B+,5BA
B-,-1,Sennheiser IE800S,1200,Warm,C+,B+,DD
B-,1,Shure Aonic 4,260,Neutral with bass boost,B+,C+,1BA 1DD
B-,-1,Sennheiser IE800,800,Warm,C+,B+,DD
B-,-1,Westone W80,1500,Warm neutral,C+,B+,8BA
B-,3,CCA CRA,14,U-shaped,B+,C+,DD
B-,-1,Aroma Ace,3700,Neutral,C,A-,12BA
B-,-1,Hifiman RE400,-1,Bright neutral,A-,C,DD
B-,1,NXEars Sonata,200,Neutral,A-,C,BA
B-,1,Ambient Dynamics AD-006 “Lyndale”,200,Warm neutral,B-,B-,1BA 1DD
B-,-1,Anthem Five E4,400,Neutral with bass boost,B-,B-,4BA
B-,-1,Aure Elixir,2000,Mild V-shape,B-,B-,3BA 1DD
B-,-1,Aure Flame,2000,Mild V-shape,B-,B-,?
B-,-1,Craft Ears Argentum,850,V-shaped,B-,B-,2BA 1DD
B-,-1,Fatfreq Reference Pro,370,Neutral,B-,B-,3BA
B-,-1,INAIR M360,140,V-shaped,B-,B-,DD
B-,-1,qdc Fusion,920,Warm,B-,B-,4BA 1DD
B-,1,qdc Neptune,200,Warm neutral,B-,B-,BA
B-,1,qdc Uranus,200,Warm,B-,B-,1BA 1DD
B-,-1,Shanling ME700 Lite,500,Neutral,B-,B-,4BA 1DD
B-,-1,Tin HiFi P2,350,Warm U-shape,B-,B-,Planar
B-,1,ikko OH1,140,V-shaped,B-,B-,1BA 1DD
B-,-1,Ultimate Ears UE6 Pro,700,Balanced,B-,B-,1BA 2DD
C+,-1,Empire Ears Wraith,3500,Dark neutral,C+,B,4EST 7BA
C+,2,BLON BL03,38,Warm V-shape,B,C+,DD
C+,-1,Itsfit Fusion,950,Balanced,C+,B,1MS 2BA 1DD
C+,1,Urbanfun YBF-ISS014,60,V-shaped,C+,B,DD
C+,1,Shozy Form 1.1,75,Warm neutral,B,C+,1BA 1DD
C+,-1,Shozy Form 1.4,200,Warm neutral,B,C+,4BA 1DD
C+,1,ThieAudio Legacy 3 (L3),130,Neutral,B,C+,2BA 1DD
C+,-1,BGVP DM6,200,Warm V-shape,C+,B,5BA
C+,-1,Campfire Polaris V1,600,V-shaped,C+,B,1BA 1DD
C+,-1,Fearless HyperS 12BA,900,DF-neutral,C+,B,12BA
C+,-1,Fearless S10 Genie,700,DF-neutral,C+,B,10BA
C+,-1,FiiO FH7,450,V-shaped,C+,B,4BA 1DD
C+,-1,Alclair Electro,1500,Neutral with bass boost,B,C+,2EST 4BA
C+,-1,Alclair Studio4,950,Mild V-shape,B,C+,4BA
C+,-1,Aroma Twins,1700,Variable,C+,B,7BA
C+,-1,Astell & Kern T9iE,1300,U-shaped,C+,B,DD
C+,-1,DUNU Falcon Pro,220,Warm,C+,B,DD
C+,-1,EarFun x Oluv Free Pro,-1,Dark neutral,B,C+,DD
C+,-1,Empire Ears Phantom LE,2500,Warm,C+,B,5BA
C+,-1,Fender Ten 5,1200,Neutral with bass boost,B,C+,5BA 1DD
C+,-1,FiiO FD5,350,V-shaped,C+,B,DD
C+,-1,FitEar Monet 17,1550,Warm V-shape,C+,B,4BA
C+,-1,ikko OH10,200,V-shaped,C+,B,1BA 1DD
C+,-1,Lime Ears Aether R,1350,Variable,C+,B,6BA
C+,-1,SeeAudio Bravery,280,Neutral with bass boost,B,C+,4BA
C+,-1,Shozy Black Hole,800,Bright,C+,B,DD
C+,-1,Sony MDR-EX600,200,Balanced,C+,B,DD
C+,-1,Soranik SP3,250,Bright V-shape,C+,B,3BA
C+,-1,Tansio Mirai TSMR-3 Pro,200,Variable,B,C+,3BA
C+,-1,Tansio Mirai TSMR-5,430,Warm V-shape,B,C+,5BA
C+,-1,Tralucent 1 Plus 1.2,650,Warm,B,C+,1BA 1DD
C+,1,Tripowin x HBB Mele,50,V-shaped,B,C+,DD
C+,-1,Unique Melody Mini MEST,600,V-shaped,C+,B,1BC 3BA
